file,topic,score
Shea-1996-Temporal variation i.txt,2,0.6402443204
Vanvalkenburgh-1994-Shape Divergence Ass.txt,2,0.5499719166
Carter-1978-Appraisal of Hughes.txt,6,0.6080936424
Webb-2006-Phylodiversity-depen.txt,6,0.3797432947
"Thomas-1993-Sex, Size, and Inter.txt",4,0.4892015602
Maitland-1965-The Feeding Relation.txt,7,0.6509158267
Olson-1938-Onganization and ran.txt,4,0.7402926111
Gorham-1986-Sulfate in Bog Water.txt,9,0.9937050582
Vogt-1984-Ecology of Hatchling.txt,2,0.8731663956
"Weiss-1988-Sun, Slope, and Butt.txt",2,0.4193294352
Beschta-2005-Reduced cottonwood r.txt,4,0.8414271284
Robinson-1986-3-Speed Foraging dur.txt,2,0.3076650339
Lees-1972-Covering Response to.txt,3,0.560633713
"Linton-2000-Feeding, growth, and.txt",9,0.5858167113
Andres-2000-Mitigation strategie.txt,4,0.5515430117
Stiles-2008-Nestedness of remnan.txt,6,0.3623579021
Abbott-2000-Improving the conser.txt,10,0.5272948147
Gaillard-1993-Roe Deer Survival Pa.txt,6,0.8371318129
Hartshorn-1989-Application of Gap T.txt,4,0.8264493291
Ohashi-2000-Contribution of root.txt,8,0.4489777587
Winder-2004-Trade-offs in Daphni.txt,9,0.4249552309
Karl-2000-Sensitivity of speci.txt,6,0.8364313031
Engelhardt-2002-The effect of aquati.txt,8,0.8674573866
Hamner-1968-Photorefractory Peri.txt,3,0.5225150173
Craine-2010-Climate controls on.txt,3,0.5245528414
Dodson-2000-The relationship in.txt,8,0.4773471813
Elmberg-2000-Abundance-distributi.txt,6,0.3666522522
Eklof-2006-Species loss and sec.txt,5,0.3191255217
Caplenor-1967-Temperature Control.txt,3,0.4948486427
Shorrocks-1975-Distribution and Abu.txt,2,0.3674828111
"Randerson-1984-Modeling - Jeffers,J.txt",6,0.8484339295
Janssen-1972-Paleoecology of Plan.txt,4,0.92957455
Maddox-2009-Seasonal sex allocat.txt,2,0.934248587
Thrall-2007-Geographic patterns.txt,8,0.4995574589
Rudneva-2000-Responses of juvenil.txt,9,0.5004519191
Ribeiro-2000-Patterns of abundanc.txt,6,0.4881944525
Seijas-2000-Population status of.txt,6,0.4059525438
Dukas-1993-Information-Processi.txt,5,0.9399262318
Wickstrom-1985-Dynamics of Cyanobac.txt,3,0.4661632226
Schlesinger-1978-Demographic-Studies.txt,4,0.5542951963
Rockwood-1974-Seasonal-Changes in.txt,4,0.5746219147
Hayes-1952-On the Kinetics of P.txt,7,0.5535258659
Leavitt-1986-Stable-Carbon Isotop.txt,4,0.3762967819
"Jones-1988-Philopatry, Dispersa.txt",1,0.4040428071
Clapham-1956-Autecological Studie.txt,3,0.6596975271
Greenwood-1979-Analyzing Experiment.txt,5,0.4954576312
Mason-2011-Niche overlap reveal.txt,8,0.7519338975
Lee-2000-A worrying systemati.txt,10,0.9231871503
Amat-2000-Brood desertion by f.txt,2,0.8514881429
Dobson-1992-A Test of Resource L.txt,3,0.2439752692
Pierotti-1991-Diet Choice in the H.txt,2,0.604452558
Beaulieu-2012-Synthesizing phyloge.txt,10,0.4329103314
Handa-2005-A test of the tree-l.txt,3,0.553088961
Graves-1997-Geographic clines of.txt,6,0.6624338984
West-1968-Bioenergetics of Cap.txt,7,0.3797356774
Dexter-1955-Fouling Organisms At.txt,4,0.4670546682
Jackson-2000-The importance of th.txt,6,0.388118426
Webb-1956-An Ecological Study.txt,9,0.6425981465
Halaj-2000-Importance of habita.txt,5,0.3030562517
Ralph-1977-Effect of Host Plant.txt,5,0.601381445
Symstad-2000-A test of the effect.txt,8,0.8622499906
Major-1965-Vegetation and Soils.txt,4,0.9193282684
Buckland-1982-A Mark-Recapture Sur.txt,6,0.9976123689
Jenkins-2008-Temporal changes in.txt,6,0.9124658936
Rotella-2012-Evaluating the demog.txt,6,0.9014270403
Pease-1989-A Model of Populatio.txt,6,0.6340150355
Lawson-1968-A Study of a Vegetat.txt,4,0.7217895871
McClure-1943-Salamanders and snow.txt,9,0.4145781815
Zanette-2010-Food supplementation.txt,7,0.5303588641
Carvalho-2000-Isolation and charac.txt,10,0.9991361454
Smyth-1966-Winter Breeding in W.txt,2,0.6189284784
Bertram-1998-Effects of maternal.txt,2,0.5109426367
Buckley-2008-Thermal and energeti.txt,6,0.5484080641
Pearson-1962-Hippophae Rhamnoides.txt,4,0.5682693827
Slagsvold-2000-Behavioural ecology.txt,2,0.4780756141
Hatchwell-2000-Divorce in cooperati.txt,2,0.9385837221
Onorato-2000-Historical changes i.txt,6,0.5217589777
Macia-2000-The effects of sea u.txt,5,0.2979436743
Bennett-1939-The social hierarcry.txt,2,0.9326866095
Danstedt-1975-Local Geographic Var.txt,2,0.891838617
Okland-2000-Understorey vegetati.txt,4,0.8314266584
Stead-2005-The distribution of.txt,2,0.5277932482
Leslie-1949-The Intrinsic Rate o.txt,6,0.9113666661
Laakkonen-2001-Effect of land cover.txt,6,0.40106489
Ricklefs-1980-Bias and Dispersion.txt,6,0.855809987
Mayer-1992-Turnover in the Avif.txt,6,0.6244583947
Lundberg-2000-Population variabili.txt,6,0.9986583885
Burnett-1949-The Effect of Temper.txt,5,0.7207362616
Birenheide-2000-Cirri of the stalked.txt,9,0.6041732217
Davy-2011-Colonization of a ne.txt,9,0.598578409
Tankersley-2000-Physiological respon.txt,3,0.3577914075
Shvidenko-2000-Aggregated estimatio.txt,4,0.4463954656
Steward-1977-Melanism and Selecti.txt,5,0.6961367691
Bookman-1982-Root Interaction bet.txt,8,0.4021874274
Blums-2003-Factors affecting br.txt,6,0.5499180184
Becklin-2012-Willows indirectly r.txt,8,0.5774962928
Saunders-2000-Evaluation of attrac.txt,7,0.4782811703
"Franklin-2000-Climate, habitat qua.txt",6,0.7573565113
Stevens-1987-Lianas as Structural.txt,4,0.7576839142
Berkeley-2004-Maternal age as a de.txt,2,0.5485480225
Vogt-1986-Overestimation of Ne.txt,7,0.4352778305
Paschke-2000-Nitrogen availabilit.txt,8,0.9242046317
Warren-2000-The role of white cl.txt,8,0.4190737766
Rausher-1983-Demographic Conseque.txt,5,0.9362576026
"Barnes-1950-The Development, Gen.txt",2,0.5025359256
Wu-1976-Experimental Ecologi.txt,3,0.8371368373
Howe-2000-Early effects of rod.txt,5,0.3251969781
Hacker-1990-Habitat Architecture.txt,2,0.5577867906
Turrell-1965-Comparative Nocturna.txt,4,0.6547402802
Heske-1994-Long-Term Experiment.txt,5,0.6341030064
Schmidt-2007-Biogeochemical conse.txt,8,0.7958289806
Alatalo-1982-Bird Species Distrib.txt,2,0.4520444745
"Jacob-2000-Microhabitat use, gi.txt",5,0.5262234043
Wootton-2010-Experimental species.txt,6,0.8246942876
Rainey-2000-The emergence and ma.txt,10,0.386424104
Dick-1963-The Occurrence and D.txt,3,0.465639512
Cheplick-1995-Genotypic Variation.txt,2,0.5957226497
Violle-2006-Effects of litter an.txt,8,0.4353302284
Crawford-1974-Utilization of Disso.txt,9,0.798883568
Antrop-2000-Changing patterns in.txt,10,0.8150034842
Moller-1993-Ectoparasites Increa.txt,2,0.9992220151
Avellanal-2000-Orientation of Phale.txt,3,0.419892366
Spinage-1970-Population Dynamics.txt,6,0.4173915062
Huck-2008-Low genetic variabil.txt,10,0.6714601093
Whitehouse-2000-Chlorophyll_nutrient.txt,9,0.9982032138
Beschel-1962-Woodland Transects o.txt,4,0.8856934009
Moore-2000-Habitat-specific sig.txt,6,0.5112234459
Pough-1983-Behavioral-Modificat.txt,3,0.8325562155
Chandler-1987-Facilitative and Inh.txt,5,0.543428721
Mailly-2000-Disturbance and succ.txt,4,0.6403610117
Nichols-1994-Estimating Breeding.txt,6,0.6920311665
Conway-1974-Population Parameter.txt,6,0.5409821743
Cline-1966-Effects of Temperatu.txt,3,0.9992989213
"Aviles-2000-Precise, highly fema.txt",2,0.9967503113
Koljalg-2000-Diversity and abunda.txt,10,0.4470050521
Eppinga-2010-Resource contrast in.txt,8,0.4421239931
Bohan-2000-Parametric intensity.txt,6,0.7738102269
Corlett-1984-Human Impact on the.txt,4,0.9971053843
Eriksson-1988-Patterns of Ramet Su.txt,6,0.4184332838
"Mountford-1961-On Pielou,E.C. Index.txt",6,0.9300810303
Duckworth-2000-Vegetation-environme.txt,4,0.4825292306
Taylor-1956-Carex-Flacca Schreb.txt,4,0.6208530928
Taverna-2005-Long-term change in.txt,4,0.7678083181
Austin-1982-Use of a Relative Ph.txt,3,0.3169519374
Barbehenn-1958-Spatial and Populati.txt,2,0.6197620375
Honer-2002-The response of spot.txt,5,0.5362148502
Hendrick-1992-The Demography of Fi.txt,7,0.4716602032
Wratten-1973-Effectiveness of Coc.txt,5,0.7846214896
Arnold-2000-Are tropical fungal.txt,4,0.4683908799
Jordan-1969-Derivation of Leaf-A.txt,4,0.4967440337
Walde-1984-Invertebrate Predati.txt,5,0.863314629
Cooper-1963-An Evaluation of Var.txt,4,0.91816459
Quevedo-2009-Intrapopulation nich.txt,7,0.4729185697
Cresswell-2010-Predator-hunting suc.txt,1,0.485867983
Caswell-1980-On the Equivalence o.txt,2,0.6776599204
Fa-2000-Bushmeat markets on.txt,10,0.3521946453
Eckert-1995-Style Morph Ratios i.txt,2,0.5017887319
DeVries-2012-Similarity and diffe.txt,8,0.5098714889
Engen-2005-Estimating the patte.txt,6,0.9989593394
Talbot-1943-Response of the ant.txt,3,0.5613942341
Thorold-1955-Observations on Theo.txt,4,0.7670399076
Lanciani-1975-Parasite-Induced Alt.txt,5,0.5405677459
Hett-1971-Sugar Maple (Acer-Sa.txt,4,0.5118379152
Fox-2000-Natural selection on.txt,2,0.6987634974
Downey-1964-Variation in Lycaeni.txt,5,0.5689993869
Sun-2007-Seed predation durin.txt,4,0.3972402438
Gregory-Wodzicki-2000-Relationships betwee.txt,6,0.60304651
Dirzo-1982-Experimental Studies.txt,5,0.746402911
Sterzynska-2000-The distribution and.txt,9,0.6001707019
Panzieri-2000-Importance of the Br.txt,7,0.2667395936
Hughes-2003-Mire development acr.txt,3,0.4006103962
Jullien-1998-Multi-species territ.txt,2,0.3662456698
Holmgren-1956-Competition between.txt,4,0.6545471999
Wilson-1986-Recording Devices on.txt,1,0.4863482754
Schaaf-2000-Identification and f.txt,9,0.4242801627
Gold-1995-Water Limitations an.txt,3,0.6428200139
Tremblay-2000-Benthic and pelagic.txt,9,0.4712872835
Macarthu.RhDiamond-1972-Density Compensation.txt,2,0.4532410471
Evans-1958-The Influence of Lig.txt,3,0.6696823684
Jackson-2011-Comparing isotopic n.txt,6,0.6171245853
Burkins-2000-Origin and distribut.txt,9,0.6086287809
Horton-1955-Development of Veget.txt,4,0.9990257169
Stenson-1987-Variation in Capsule.txt,2,0.6815283154
Veblen-1989-Tree Regeneration Re.txt,4,0.616720371
Pruitt-2011-Intraspecific trait.txt,2,0.4897269396
"Marks-2000-Flood disturbance, a.txt",7,0.7971953671
Veen-2000-Experimental evidenc.txt,5,0.4910465096
Oger-2000-Effect of crop rotat.txt,8,0.3796717543
Burges-1953-The Structure of a N.txt,4,0.992740625
Strong-1966-An Improved Method o.txt,6,0.4323623147
Andreassen-1998-Space-use responses.txt,10,0.4364155945
Hewlett-2000-Implications of taxo.txt,6,0.7199335486
Bertness-1994-Cooperative and Comp.txt,4,0.563257709
Schmid-1965-Distribution of Aqua.txt,9,0.6382422632
Parker-1986-Persistence of Lodge.txt,4,0.7348047005
Orgain-1953-A Preliminary Analys.txt,6,0.4135524332
Saura-2000-Landscape patterns s.txt,6,0.4834647807
Jassby-1975-Dark Sulfate Uptake.txt,9,0.9983751286
Harris-1986-Urban Fox (Vulpes-Vu.txt,6,0.6732695603
Mcloskey-1987-Tree Lizard (Urosaur.txt,2,0.5881486734
Mcnab-1963-A Model of Energy Bu.txt,6,0.6889966152
Matthews-2007-The inflationary eff.txt,6,0.7604194327
Brown-1948-The Ecology of Saldi.txt,9,0.612228615
Hocker-1956-Certain Aspects of C.txt,3,0.6535262931
Gaston-2002-Individuals-area rel.txt,6,0.3493583457
Bellingham-1994-Sprouting of Trees i.txt,4,0.9514241038
Butcher-1946-Studies in the Ecolo.txt,3,0.5712525503
Lexer-2003-Experimental hybridi.txt,2,0.4798496627
Coquillard-2000-Simulation of the mo.txt,6,0.5058794708
Menke-2006-Abiotic factors cont.txt,8,0.396771005
Clinchy-2001-Dispersal sinks and.txt,6,0.60193171
Newman-2000-Taxonomic and biolog.txt,2,0.3843110374
Verhoeven-1990-Nitrogen and Phospho.txt,8,0.8133336001
Iwasa-2000-Estimate of populati.txt,6,0.9990052846
Dutech-2000-Characterization of.txt,10,0.9881463728
Gipps-1979-Maintaining Populati.txt,2,0.9434620939
Collins-1976-Functional-Analysis.txt,5,0.2552938464
"Gomez-2000-Sex, parthenogenesis.txt",10,0.7913910409
Hacke-2000-Influence of soil po.txt,3,0.714628979
Hall-1996-Reproductive strateg.txt,2,0.8339563358
Culver-1972-Niche Analysis of Co.txt,2,0.6177958808
Norton-1991-Habitat Use and Comm.txt,2,0.4576620784
Buschmann-2005-Variation in growth.txt,1,0.5280231886
Sucoff-1972-Water Potential in R.txt,3,0.7557583772
Zedler-1969-Association of Speci.txt,8,0.6719106689
Frydman-1968-Forest Associations.txt,4,0.6955753694
Semlitsch-1987-Density-Dependent Gr.txt,2,0.9175360597
Buerkle-2000-The likelihood of ho.txt,10,0.6659491924
Veblen-1980-Structure and Dynami.txt,4,0.6984572996
Kirkpatrick-2000-Reinforcement and di.txt,10,0.5205243494
Hughes-1960-The Natural Mortalit.txt,5,0.3836907031
Mccann-1994-Biological Condition.txt,5,0.3877748002
Ruane-2000-A framework for prio.txt,10,0.7308895438
Magnusson-2001-Size and carbon acqu.txt,2,0.2963765831
Rochow-1970-Ecological Investiga.txt,3,0.5406234986
Bell-2000-Territoriality and h.txt,2,0.424663873
Carlsson-1991-Positive Plant Inter.txt,4,0.3335201607
De Kerckhove-2006-Ecological mechanism.txt,5,0.3464465854
Smith-1981-Competitive Interact.txt,2,0.9416429162
Steinfartz-2000-Mitochondrial sequen.txt,10,0.8422887321
Hays-1965-The Frequency and Ma.txt,5,0.3661554701
Craig-2000-Habitat preferences.txt,6,0.3774652875
Merkle-1951-An Analysis of the P.txt,4,0.8737910916
Knight-1965-A Gradient Analysis.txt,4,0.3569135336
Meyer-1993-A Comparison of the.txt,3,0.7474526555
Phillips-2010-Parasites and pathog.txt,6,0.5769277189
Mandle-2012-Interactions among f.txt,4,0.2691273075
Blackman-1954-Endymion-Nonscriptus.txt,3,0.6591875325
Strong-2009-UntitledEcologyEcolo.txt,8,0.7792915776
Migotto-2000-The life cycle of He.txt,9,0.3629186873
Hogg-1996-Response of stream i.txt,2,0.4265938893
Dunn-2011-A test of the mismat.txt,7,0.4252246802
Anderson-2000-Micro-scale restorat.txt,4,0.9604787541
Holmgren-2010-Strong facilitation.txt,3,0.5495712054
Bailey-1952-Improvements in the.txt,6,0.9954988435
Friedman-1977-Suppression of Annua.txt,4,0.447338145
Kucera-1959-Weathering Character.txt,4,0.4109125326
Silva-1991-Population Responses.txt,6,0.5465667283
Clark-1980-Age-Dependent and Se.txt,2,0.4772856963
Belovsky-1990-Susceptibility to Pr.txt,2,0.6462928988
Bahri-Sfar-2000-Fragmentation of sea.txt,10,0.8841390033
Vasquez-2000-Foraging rate versus.txt,1,0.5534508461
Stiling-2005-Are trophodynamic mo.txt,5,0.4288059673
Dobzhansky-1955-Differentiation of N.txt,4,0.5596421242
Moles-2009-Global patterns in p.txt,3,0.5192045105
Grime-1965-Comparative Experime.txt,3,0.5220577993
Cushman-2008-Multi-scale patterns.txt,4,0.33958766
Tufto-2000-The evolution of pla.txt,2,0.4646991495
Kershaw-1958-An Investigation of.txt,4,0.5829804973
Jaeger-1971-Competitive Exclusio.txt,8,0.4693257884
Smith-1984-A Note on the Genera.txt,6,0.6041564357
Sinclair-2000-What determines phen.txt,7,0.393765979
Knox-1989-Population-Dynamics.txt,6,0.4902075172
Stein-1984-Using Time and Energ.txt,5,0.6668184666
Barkham-1970-Multivariate Procedu.txt,8,0.3752093078
Jones-1971-Studies on Freshwate.txt,9,0.9760058743
Smith-1982-Bias in Estimating N.txt,6,0.6416250642
Stebbins-1944-Field notes on a liz.txt,2,0.7174260215
Vergeer-2003-The interacting effe.txt,10,0.4408657548
Convey-2002-Response of antarcti.txt,3,0.44300297
Purer-1936-Growth behavior in C.txt,3,0.7181218236
Russo-2000-Spermatogenesis in s.txt,2,0.5169472385
"Steves-2000-Settlement, growth.txt",2,0.6064895646
"Koubbi-2000-Role of bay, fjord a.txt",9,0.4010545564
Resetarits-1991-Calling Site Choice.txt,2,0.9548973685
Tada-2000-Chronic effects of a.txt,3,0.4066986689
Tallis-1965-Studies on Southern.txt,4,0.34946885
Dingle-1962-Occurrence of Correc.txt,5,0.3108040923
Massey-2006-Neighbourhood compos.txt,4,0.5809630466
Dangremond-2010-Apparent competition.txt,1,0.5749432389
Freiberg-2000-Epiphyte diversity a.txt,8,0.4813344941
Whitney-2000-Threatened fishes of.txt,1,0.3093364161
Birtfriesen-1990-CorrectionEcologyEco.txt,2,0.7217818717
Horino-2000-Population viability.txt,6,0.7009608201
Cuker-1983-Competition and Coex.txt,5,0.5984275531
Hoss-1974-Energy-Requirements.txt,7,0.3361520097
Cameron-1940-Effect of fluorine o.txt,3,0.8491113585
Gray-1961-Reproductive Ecology.txt,2,0.5345435139
Drever-2007-Spring temperature.txt,2,0.4030504368
Giesel-1969-Factors Influencing.txt,2,0.5714508467
Gutierrez-2000-Density and biomass.txt,5,0.5289219973
Thompson-1985-Bipedal Hopping and.txt,1,0.4829113265
Bach-1980-Effects of Plant-Den.txt,5,0.7181558395
Slack-1934-The winter food of b.txt,7,0.9865637735
Wilson-1999-Exploring stable pat.txt,6,0.6441738315
Getz-1963-Light Preferences of.txt,4,0.9181631135
Watt-1955-Bracken Versus Heath.txt,4,0.5414010727
Karasov-1984-Interhabitat Differe.txt,2,0.4496707077
Mackey-1973-Present Composition.txt,4,0.9951860893
Onate-2000-Agri-environmental s.txt,10,0.6976153741
Bodie-2000-Spatial and temporal.txt,2,0.2859153666
Burd-1995-Pollinator Behaviora.txt,1,0.5533580565
Silver-2000-The arrangement of r.txt,1,0.3724532739
Araujo-2000-Selecting areas for.txt,6,0.7601233907
Jennings-2001-Weak cross-species r.txt,7,0.423895553
Mac Nally-2000-Forecasting the impa.txt,10,0.5368180892
Maillette-1992-Plasticity of Modula.txt,3,0.5583740034
Brown-2009-Age-specific reprodu.txt,2,0.8514635835
Sarrazin-2000-Demographic approach.txt,6,0.4546432819
Saona-2010-Environmental stress.txt,3,0.4531952299
Mitsui-2000-Coexistence of droso.txt,6,0.3401760137
Richards-1972-Hymenophyllum.txt,3,0.6644280505
Fenton-2000-Modelling the effica.txt,6,0.56063705
Fridley-2006-Plant species invasi.txt,8,0.4114233238
Campbell-2010-Flower color influen.txt,2,0.3206100429
Lawrence-1970-Breeding Habits and.txt,3,0.6806633463
Slatkin-1980-Ecological Character.txt,6,0.5190751182
Traxler-2000-Polymorphic DNA micr.txt,10,0.9985688752
Abd El-Ghani-2000-Floristics and envir.txt,8,0.5889737947
Petermann-2010-Effect of plant spec.txt,8,0.5400323439
Daniels-2000-Between-year breedin.txt,2,0.7910522475
Hogstedt-2005-Period length in cyc.txt,6,0.3551109462
Gorman-1974-Seasonality in Ovari.txt,2,0.5594546011
Zangerl-1984-Effects of Short-Ter.txt,3,0.3183339865
Harvell-1984-Why Nudibranchs Are.txt,5,0.6094169837
Simberloff-1976-Experimental Zoogeog.txt,6,0.4468770812
Quinn-1987-The Effects of Exper.txt,4,0.3247879312
Offenberg-2000-Correlated evolution.txt,5,0.7293012598
Seppelt-2000-Regionalised optimum.txt,6,0.5510015907
Nowlin-2000-Context-dependent ef.txt,5,0.4722368146
Wilsey-2000-Biodiversity and eco.txt,8,0.9985145065
Lonsdale-1990-The Self-Thinning Ru.txt,4,0.3294518484
"Bailey-2010-Bias, precision, and.txt",6,0.9641386398
Rogers-2000-Evolving populations.txt,6,0.6678633966
Edwards-2000-Concentrations of ni.txt,9,0.4107574818
Packard-2000-Developmental plasti.txt,3,0.5293247964
Kadmon-1995-Plant Competition Al.txt,2,0.4804538878
Martin-2001-Ecological and fitne.txt,5,0.6447428229
Hanson-1950-Vegetation and Soil.txt,4,0.5809334484
Clarkson-1965-Calcium-Uptake by Ca.txt,3,0.670807134
Visser-1994-The Importance of Be.txt,2,0.6838931845
White-2000-Associational suscep.txt,5,0.4943532036
Storey-1937-The relation between.txt,4,0.5202211833
Durbin-1979-Effects of the Spawn.txt,7,0.3510726493
Evans-1986-Cues for Oviposition.txt,5,0.9966534696
Birkebak-1964-Solar-Radiation Char.txt,9,0.5181519338
Maitland-1967-Ecology of Simuliida.txt,9,0.4480693614
Angilletta-2000-The metabolic cost o.txt,2,0.8211534503
Nelson-2000-Matrilineal history.txt,10,0.9967501987
Lamontagne-2007-Local-scale synchron.txt,4,0.4255332076
Tamarin-1987-Sibship Assignment a.txt,2,0.4427612585
Reeve-2000-A transactional theo.txt,6,0.5079403044
Mitchell-1977-Bruchid Beetles and.txt,4,0.3018965662
Boyd-1958-The Ecology of Earth.txt,2,0.3303894294
Barden-1942-Activity of the liza.txt,3,0.6687502779
Gates-1948-Colonization of Cert.txt,3,0.4863581999
Wiggins-1978-Some Relationships b.txt,7,0.336952623
Weiner-1980-The Effects of Plant.txt,5,0.4436374927
Wright-1995-Phylogenetic pattern.txt,4,0.4304840612
Culberson-1958-Variation in the Pin.txt,4,0.6277487141
Kondolf-2000-Some suggested guide.txt,9,0.5631352466
Freeman-1981-The Dynamics in Trin.txt,6,0.8934806148
Preziosi-2000-Lifetime selection o.txt,2,0.9988233601
Von Holle-2005-Ecological resistanc.txt,8,0.5012618331
Nicolaus-2012-Local sex ratio affe.txt,2,0.9643798263
King-1999-Juvenile foliage and.txt,3,0.7538661859
Sweeney-1986-Growth and Productio.txt,3,0.4118189081
Tomoff-1974-Avian Species-Divers.txt,8,0.4621367294
Steneck-1982-A Limpet-Coralline A.txt,5,0.4593571281
Franklin-2000-Geographical pattern.txt,8,0.3055915979
Di Giusto-2010-Flower-scent mimicry.txt,5,0.6847869967
Pemadasa-1974-Interference in Popu.txt,4,0.3943531381
Ackerly-1995-Seedling Crown Orien.txt,3,0.6268721008
Strayer-2000-The ecology of fresh.txt,6,0.351504784
Allen-2000-Stomatal behavior an.txt,3,0.9990870332
Mercier-2000-Settlement preferenc.txt,9,0.4185572392
Macarthu.RMacarthu.JMacarthu.DMacarthu.A-1973-Effect of Island Are.txt,6,0.5991567087
Monello-2010-Differential effects.txt,5,0.3208278877
Karban-1993-Induced Resistance a.txt,5,0.7374164166
Choudhuri-1958-Experimental Studies.txt,3,0.4525252978
Naqvi-2000-Increased marine pro.txt,9,0.9025541495
Morton-2000-Territory switching.txt,2,0.7004656323
Murray-1994-Fruit Laxatives and.txt,1,0.7636098506
Purves-2002-Experimental derivat.txt,5,0.5038265476
Jastrow-1993-Neighbor Influences.txt,7,0.5514097671
Jackson-2004-Terrestrial and fres.txt,4,0.9181599399
Johnson-1993-Climatic and Phyloge.txt,4,0.3306956318
Brook-1959-The Status of Desmid.txt,9,0.6909090293
Bracco-2000-Mesoscale vortices a.txt,6,0.6821285767
Mcevoy-1986-Niche Partitioning i.txt,5,0.5527255798
Dorworth-1978-Presence of a Late P.txt,4,0.6817415959
Grubb-1982-Studies of Mineral C.txt,4,0.7515187442
Sera-1994-The Effect of Relate.txt,2,0.8473410034
Lennartsson-1998-Induction of overcom.txt,5,0.314674903
Wikelski-2002-Seasonality of repro.txt,4,0.4999202851
May-1986-The Search for Patte.txt,6,0.5884405544
Cottam-1957-Some Sampling Charac.txt,6,0.6731349905
Slade-2007-Experimental evidenc.txt,8,0.590029374
Wainwright-1996-Ecological explanati.txt,5,0.4348994596
Balzter-2000-Markov chain models.txt,6,0.5949947742
Beals-1973-Ordination - Mathema.txt,6,0.725613555
Anten-1999-Interspecific differ.txt,3,0.8423641182
Baden-Powell-1937-On the Holocene mari.txt,9,0.5523825091
de Jong-2000-The evolution of gen.txt,6,0.4193959205
Cox-1961-Relation of Energy-R.txt,3,0.480353301
Legge-2000-Siblicide in the coo.txt,2,0.9070015982
Getz-1968-Influence of Water B.txt,3,0.8137851747
Partch-1950-Some Factors Affecti.txt,4,0.7320928914
Shirley-1942-Height of red pine s.txt,4,0.7912977832
Peng-2000-From static biogeogr.txt,8,0.3433692748
Sandvik-2000-A new evolutionary s.txt,10,0.5783531295
"Garten-1990-Foliar Leaching, Tra.txt",4,0.3454933629
White-1960-The Distribution and.txt,4,0.8053699351
Wheeler-1980-Plant-Communities of.txt,4,0.6015556036
Delph-1995-Sexual Dimorphism Ma.txt,2,0.503986809
Valone-1994-Interactions between.txt,5,0.5499630875
Ramsey-2005-Predicting the effec.txt,6,0.5295562989
Wittmer-2007-Changes in landscape.txt,6,0.6833184286
Wendeln-2000-Parental care of rep.txt,2,0.9194421234
Massot-1992-Density Dependence i.txt,2,0.6987714148
Mangel-2000-On the fraction of h.txt,6,0.6495025412
Pizano-2011-Above- and belowgrou.txt,8,0.6693357587
Conradt-2000-Non-random dispersal.txt,1,0.9307300008
Maestre-2009-Is the patch size di.txt,8,0.7644174159
Donovan-2001-Area-sensitive distr.txt,6,0.3654430153
Bissonnette-1938-Interupted night-lig.txt,2,0.7374923064
Feener-2000-Is the assembly of a.txt,5,0.5926603032
Garcia-Robledo-2011-Experimental demogra.txt,5,0.4260325876
Wilsey-2003-Effects of seed addi.txt,8,0.5756460904
Elberse-2003-Plasticity of growth.txt,3,0.5417703743
"Knowlton-2000-Seston, light, nutri.txt",9,0.8133069645
Airoldi-2000-Effects of disturban.txt,6,0.2613305875
Clarke-1971-Mangrove Swamp and S.txt,3,0.5538367332
Battaglia-2009-Effects of native ve.txt,4,0.3856770676
Turner-1976-Mineral Nutrient Acc.txt,4,0.4486198705
Larsson-2006-Barnacle larvae acti.txt,6,0.369708952
Taylor-1980-Growth of Rubus-Vest.txt,3,0.7206143284
Smith-2008-Coexistence of three.txt,5,0.9712950495
Fukuda-2000-Feeding currents of.txt,9,0.6860675701
Schories-2000-Flagging greens_ hyd.txt,9,0.4786422184
Damgaard-2000-Describing inequalit.txt,2,0.3490452256
Eggleston-1992-Shelter Selection by.txt,2,0.585375884
Lewis-1987-The Regulation of Mo.txt,9,0.4290704087
Denyer-2010-Both bottom-up and t.txt,8,0.8919749994
Garrido-2010-Variation in arbuscu.txt,3,0.5801970216
Boyd-1990-Population Ecology o.txt,2,0.5745671608
"Siemann-1999-Abundance, diversity.txt",2,0.7445623408
Pfrender-2000-Multi-locus genetic.txt,10,0.9746897631
Peakall-2000-Avian data bases and.txt,6,0.6196304605
White-1971-Vegetation Stripes o.txt,4,0.7662109341
Anderson-1967-Photon Flux Chloroph.txt,3,0.5345333064
McCulloch-1942-The role of bracken.txt,4,0.9927403221
McLenachan-2000-Markers derived from.txt,10,0.9595293358
Malloch-2000-Molecular evidence f.txt,10,0.8550326875
Fletcher-2000-Chemistry of Leichha.txt,5,0.5665600476
Beaver-1966-Development and Expr.txt,6,0.7780570716
Crespi-2000-Phylogenetic evidenc.txt,10,0.3663418563
Boonstra-2001-Reproduction at all.txt,2,0.6630228783
De Frenne-2011-Interregional variat.txt,4,0.5083445092
Ruiz-2000-Global spread of mic.txt,9,0.8484230422
Fahnestock-2000-Ecological significa.txt,8,0.6461607897
Islam-2000-Land use effects on.txt,8,0.7205554354
Rogers-1972-Random Search and In.txt,5,0.9077109478
Hutchinson-2000-More on the meanderi.txt,6,0.7592405167
Dunn-1954-The Feeding Habits o.txt,7,0.6908781973
Dunn-1959-Some Effects of Air-.txt,3,0.9133325519
Cornish-1954-The Origin and Struc.txt,4,0.9948853248
