"","author","year","file","titles","periodical","volume","number"
"6364","Gilbert",1944,"Gilbert-1944-The alga-egg relatio.txt","The alga-egg relationship in Ambystoma maculatum - A case of symbiosisEcologyEcology","Ecology","25","3"
"6365","Kooijman",2004,"Kooijman-2004-Dynamic energy budge.txt","Dynamic energy budget representations of stoichiometric constraints on population dynamicsEcologyEcology","Ecology","85","5"
"6366","Orpurt",1957,"Orpurt-1957-Soil Microfungi in R.txt","Soil Microfungi in Relation to the Prairie Continuum in WisconsinEcologyEcology","Ecology","38","4"
"6367","Orr",1954,"Orr-1954-Quantitative Studies.txt","Quantitative Studies of Protozoan Populations from 2 Areas of Pymatuning Lake, PennsylvaniaEcologyEcology","Ecology","35","3"
"6368","Carey",1995,"Carey-1995-Spotted-Owl Ecology.txt","Spotted-Owl Ecology - Theory and Methodology - ReplyEcologyEcology","Ecology","76","2"
"6370","Aerts",1994,"Aerts-1994-Effects of Nitrogen.txt","Effects of Nitrogen Supply on Canopy Structure and Leaf Nitrogen Distribution in Carex SpeciesEcologyEcology","Ecology","75","5"
"6371","Leathwick",2001,"art100631.txt","Competitive interactions between tree species in New Zealand's old-growth indigenous forestsEcologyEcology","Ecology","82","9"
"6372","Lipcius",1986,"Lipcius-1986-Variable Functional-.txt","Variable Functional-Responses of a Marine Predator in Dissimilar Homogeneous MicrohabitatsEcologyEcology","Ecology","67","5"
"6373","Lecerf",2010,"art101099.txt","Functional leaf traits and biodiversity effects on litter decomposition in a stream: commentEcologyEcology","Ecology","91","6"
"6375","Lipp",1960,"Lipp-1960-Cardiac Response to.txt","Cardiac Response to Cold of 2 Species of Mammalian HibernatorsEcologyEcology","Ecology","41","2"
"6376","Koptur",1988,"Koptur-1988-Interactions among V.txt","Interactions among Vetches Bearing Extrafloral Nectaries, Their Biotic Protective Agents, and HerbivoresEcologyEcology","Ecology","69","1"
"6377","Vasseur",2004,"Vasseur-2004-The color of environ.txt","The color of environmental noiseEcologyEcology","Ecology","85","4"
"6378","Carl",1937,"Carl-1937-Flora and fauna of b.txt","Flora and fauna of brackish waterEcologyEcology","Ecology","18","3"
"6380","Carl",1971,"Carl-1971-Population Control i.txt","Population Control in Arctic Ground SquirrelsEcologyEcology","Ecology","52","3"
"6381","Bartholomew",1953,"Bartholomew-1953-A Field Study of Tem.txt","A Field Study of Temperature Regulation in Young White Pelicans, Pelecanus-ErythrorhynchosEcologyEcology","Ecology","34","3"
"6382","Mayes",1977,"Mayes-1977-Uptake of Cadmium an.txt","Uptake of Cadmium and Lead by a Rooted Aquatic Macrophyte (Elodea-Canadensis)EcologyEcology","Ecology","58","5"
"6383","Vaughn",2007,"Vaughn-2007-Context-dependent sp.txt","Context-dependent species identity effects within a functional group of filter-feeding bivalvesEcologyEcology","Ecology","88","7"
"6384","Whitney",2004,"Whitney-2004-Insect seed predator.txt","Insect seed predators as novel agents of selection on fruit colorEcologyEcology","Ecology","85","8"
"6385","Ortega",2004,"Ortega-Cejas-2004-The role of the dela.txt","The role of the delay time in the modeling of biological range expansionsEcologyEcology","Ecology","85","1"
"6388","Little",1939,"Little-1939-The vegetation of th.txt","The vegetation of the Caddo County canyons, OklahomaEcologyEcology","Ecology","20","1"
"6391","Little",1956,"Little-1956-The Helicopter for T.txt","The Helicopter for Tropical Botanical Field WorkEcologyEcology","Ecology","37","3"
"6392","Schroder",1987,"Schroder-1987-Mechanisms for Coexi.txt","Mechanisms for Coexistence among 3 Species of Dipodomys - Habitat Selection and an AlternativeEcologyEcology","Ecology","68","4"
"6393","Vazquez",2004,"Vazquez-2004-Asymmetric specializ.txt","Asymmetric specialization: A pervasive feature of plant-pollinator interactionsEcologyEcology","Ecology","85","5"
"6394","Fetcher",1976,"Fetcher-1976-Patterns of Leaf Res.txt","Patterns of Leaf Resistance to Lodgepole Pine Transpiration in WyomingEcologyEcology","Ecology","57","2"
"6395","Orzack",2001,"Orzack-2001-Reproductive effort.txt","Reproductive effort in variable environments, or environmental variation is for the birdsEcologyEcology","Ecology","82","9"
"6396","Holyoak",2006,"Holyoak-2006-Neutral community ec.txt","Neutral community ecologyEcologyEcology","Ecology","87","6"
"6397","Agrawal",2003,"Agrawal-2003-Underground processe.txt","Underground processes in plant communitiesEcologyEcology","Ecology","84","9"
"6399","Fewster",2000,"Fewster-2000-Analysis of populati.txt","Analysis of population trends for farmland birds using generalized additive modelsEcologyEcology","Ecology","81","7"
"6400","Doligez",2003,"Doligez-2003-Clutch size reductio.txt","Clutch size reduction as a response to increased nest predation rate in the collared flycatcherEcologyEcology","Ecology","84","10"
"6401","Fiala",1983,"Fiala-1983-Energetic Consequenc.txt","Energetic Consequences of Sexual Size Dimorphism in Nestling Red-Winged BlackbirdsEcologyEcology","Ecology","64","4"
"6402","Agrawal",2006,"Agrawal-2006-Plant defense syndro.txt","Plant defense syndromesEcologyEcology","Ecology","87","7"
"6403","Bourdo",1956,"Bourdo-1956-A Review of the Gene.txt","A Review of the General Land Office Survey and of Its Use in Quantitative Studies of Former ForestsEcologyEcology","Ecology","37","4"
"6404","Schulman",1942,"Schulman-1942-Dendrochronology in.txt","Dendrochronology in pines of ArkansasEcologyEcology","Ecology","23","3"
"6405","Coull",1983,"Coull-1983-Refuges from Fish Pr.txt","Refuges from Fish Predation - Experiments with Phytal Meiofauna from the New-Zealand Rocky IntertidalEcologyEcology","Ecology","64","6"
"6406","Fichter",1941,"Fichter-1941-Apparatus for the co.txt","Apparatus for the comparison of soil surface arthropod populationsEcologyEcology","Ecology","22","3"
"6407","Schulte",2005,"Schulte-2005-Severe wind and fire.txt","Severe wind and fire regimes in northern forests: Historical variability at the regional scaleEcologyEcology","Ecology","86","2"
"6408","Hanes",1967,"Hanes-1967-Postfire Chaparral S.txt","Postfire Chaparral Succession in Southern CaliforniaEcologyEcology","Ecology","48","2"
"6409","Donalson",1999,"Donalson-1999-Population dynamics.txt","Population dynamics and spatial scale: Effects of system size on population persistenceEcologyEcology","Ecology","80","8"
"6410","Osgood",1972,"Osgood-1972-Monitoring Activity.txt","Monitoring Activity of Small Mammals by Temperature-TelemetryEcologyEcology","Ecology","53","4"
"6413","Carnes",1982,"Carnes-1982-Some Comments on Nic.txt","Some Comments on Niche Analysis in Canonical SpaceEcologyEcology","Ecology","63","4"
"6414","Carnes",1988,"Carnes-1988-The Use of Regressio.txt","The Use of Regression for Detecting Competition with Multicollinear DataEcologyEcology","Ecology","69","4"
"6415","Koster",1955,"Koster-1955-Outline for an Ecolo.txt","Outline for an Ecological Life History Study of a FishEcologyEcology","Ecology","36","1"
"6416","Lively",1986,"Lively-1986-Competition, Compara.txt","Competition, Comparative Life Histories, and Maintenance of Shell Dimorphism in a BarnacleEcologyEcology","Ecology","67","4"
"6417","Fienberg",1970,"Fienberg-1970-Analysis of Multidim.txt","Analysis of Multidimensional Contingency TablesEcologyEcology","Ecology","51","3"
"6418","Lively",1993,"Lively-1993-Intertidal Community.txt","Intertidal Community Structure - Space-Time Interactions in the Northern Gulf of CaliforniaEcologyEcology","Ecology","74","1"
"6419","Fierer",2005,"Fierer-2005-Litter quality and t.txt","Litter quality and the temperature sensitivity of decompositionEcologyEcology","Ecology","86","2"
"6420","Ostfeld",1993,"Ostfeld-1993-Effects of Meadow Vo.txt","Effects of Meadow Vole Population-Density on Tree Seedling Survival in Old FieldsEcologyEcology","Ecology","74","6"
"6421","Ahmad",1983,"Ahmad-1983-Mixed-Function Oxida.txt","Mixed-Function Oxidase Activity in a Generalist Herbivore in Relation to Its Biology, Food Plants, and Feeding HistoryEcologyEcology","Ecology","64","2"
"6422","Bovbjerg",1960,"Bovbjerg-1960-Behavioral Ecology o.txt","Behavioral Ecology of the Crab, Pachygrapsus-CrassipesEcologyEcology","Ecology","41","4"
"6423","Hansen",1943,"Hansen-1943-A pollen study of a.txt","A pollen study of a subalpine bog in the Blue Mountains of northeastern OregonEcologyEcology","Ecology","24","1"
"6424","Velicer",1999,"Velicer-1999-Evolutionary trade-o.txt","Evolutionary trade-offs under conditions of resource abundance and scarcity: Experiments with bacteriaEcologyEcology","Ecology","80","4"
"6425","Livingston",1984,"Livingston-1984-Trophic Response of.txt","Trophic Response of Fishes to Habitat Variability in Coastal Seagrass SystemsEcologyEcology","Ecology","65","4"
"6426","Kotler",1991,"Kotler-1991-Factors Affecting Ge.txt","Factors Affecting Gerbil Foraging Behavior and Rates of Owl PredationEcologyEcology","Ecology","72","6"
"6427","Hansen",1952,"Hansen-1952-Postglacial Forests.txt","Postglacial Forests in the Grande Prairie-Lesser Slave Lake Region of Alberta, CanadaEcologyEcology","Ecology","33","1"
"6428","Livingstone",1965,"Livingstone-1965-Biology Data Book -.txt","Biology Data Book - Altman,Pl, Dittmer,DsEcologyEcology","Ecology","46","5"
"6429","Terman",1961,"Terman-1961-Some Dynamics of Spa.txt","Some Dynamics of Spatial-Distribution within Semi-Natural Populations of Prairie DeermiceEcologyEcology","Ecology","42","2"
"6430","Terman",1965,"Terman-1965-A Study of Populatio.txt","A Study of Population-Growth and Control Exhibited in the Laboratory by Prairie DeermiceEcologyEcology","Ecology","46","6"
"6431","Bowers",1964,"Bowers-1964-Natural-History of 2.txt","Natural-History of 2 Beach Hoppers of Genus Orchestoidea ( Crustacea - Amphipoda ) with Reference to Their Complemental DistributionEcologyEcology","Ecology","45","4"
"6432","Hopkins",1950,"Hopkins-1950-Differential Flotati.txt","Differential Flotation and Deposition of Coniferous and Deciduous Tree PollenEcologyEcology","Ecology","31","4"
"6433","Aide",1993,"Aide-1993-Patterns of Leaf Dev.txt","Patterns of Leaf Development and Herbivory in a Tropical Understory CommunityEcologyEcology","Ecology","74","2"
"6434","Ota",1961,"Ota-1961-Ecological Relations.txt","Ecological Relationships and Economic Importance of Japanese MicrotinaeEcologyEcology","Ecology","42","1"
"6435","Carpenter",1976,"Carpenter-1976-Plant-Pollinator Int.txt","Plant-Pollinator Interactions in Hawaii - Pollination Energetics of Metrosideros-Collina (Myrtaceae)EcologyEcology","Ecology","57","6"
"6436","Findlay",1993,"Findlay-1993-Bacterial Algal Rela.txt","Bacterial Algal Relationships in Streams of the Hubbard Brook Experimental ForestEcologyEcology","Ecology","74","8"
"6437","Schwaegerle",1987,"Schwaegerle-1987-Differentiation amon.txt","Differentiation among 9 Populations of Phlox - Response to Environmental GradientsEcologyEcology","Ecology","68","1"
"6438","Morse",1976,"Morse-1976-Variables Affecting.txt","Variables Affecting Density and Territory Size of Breeding Spruce-Woods WarblersEcologyEcology","Ecology","57","2"
"6439","Robertson",1947,"Robertson-1947-An Ecological Study.txt","An Ecological Study of 2 High Mountain Trout Lakes in the Wind River Range, WyomingEcologyEcology","Ecology","28","2"
"6440","Carpenter",1989,"Carpenter-1989-Replication and Trea.txt","Replication and Treatment Strength in Whole-Lake ExperimentsEcologyEcology","Ecology","70","2"
"6441","Dorazio",2007,"Dorazio-2007-On the choice of sta.txt","On the choice of statistical models for estimating occurrence and extinction from animal surveysEcologyEcology","Ecology","88","11"
"6442","Otten",2005,"Otten-2005-Damping-off epidemic.txt","Damping-off epidemics, contact structure, and disease transmission in mixed-species populationsEcologyEcology","Ecology","86","7"
"6443","Schwartz",1994,"Schwartz-1994-Natural Distribution.txt","Natural Distribution and Abundance of Forest Species and Communities in Northern FloridaEcologyEcology","Ecology","75","3"
"6444","Carpenter",1993,"Carpenter-1993-Biphasic Mass Gain i.txt","Biphasic Mass Gain in Migrant Hummingbirds - Body-Composition Changes, Torpor, and Ecological SignificanceEcologyEcology","Ecology","74","4"
"6445","Hopkinson",1978,"Hopkinson-1978-Aboveground Producti.txt","Aboveground Production of 7 Marsh Plant Species in Coastal LouisianaEcologyEcology","Ecology","59","4"
"6446","Luttbeg",2003,"art100836.txt","Prey state and experimental design affect relative size of trait- and density-mediated indirect effectsEcologyEcology","Ecology","84","5"
"6447","Hopkinson",1984,"Hopkinson-1984-Static and Dynamic A.txt","Static and Dynamic Aspects of Nitrogen Cycling in the Salt-Marsh Graminoid Spartina-AlternifloraEcologyEcology","Ecology","65","3"
"6448","Verber",1955,"Verber-1955-The Climates of Sout.txt","The Climates of South Bass Island, Western Lake ErieEcologyEcology","Ecology","36","3"
"6449","Fingerut",2003,"Fingerut-2003-Larval swimming over.txt","Larval swimming overpowers turbulent mixing and facilitates transmission of a marine parasiteEcologyEcology","Ecology","84","9"
"6450","Hoppes",1988,"Hoppes-1988-Seedfall Pattern of.txt","Seedfall Pattern of Several Species of Bird-Dispersed Plants in an Illinois WoodlandEcologyEcology","Ecology","69","2"
"6451","Finke",2002,"Finke-2002-Intraguild predation.txt","Intraguild predation diminished in complex-structured vegetation: Implications for prey suppressionEcologyEcology","Ecology","83","3"
"6454","Morton",1965,"Morton-1965-An Apparatus for Con.txt","An Apparatus for Continuous Recording of Food-Intake in Caged BirdsEcologyEcology","Ecology","46","6"
"6455","Horn",1968,"Horn-1968-Adaptive Significanc.txt","Adaptive Significance of Colonial Nesting in Brewers Blackbird (Euphagus Cyanocephalus)EcologyEcology","Ecology","49","4"
"6456","Ovaskainen",2008,"Ovaskainen-2008-Bayesian methods for.txt","Bayesian methods for analyzing movements in heterogeneous landscapes from mark-recapture dataEcologyEcology","Ecology","89","2"
"6457","Carr",1994,"Carr-1994-Effects of Macroalga.txt","Effects of Macroalgal Dynamics on Recruitment of a Temperate Reef FishEcologyEcology","Ecology","75","5"
"6458","Horn",1972,"Horn-1972-Competition among Fu.txt","Competition among Fugitive Species in a Harlequin EnvironmentEcologyEcology","Ecology","53","4"
"6459","Horn",2004,"Horn-2004-Commentary on Brown.txt","Commentary on Brown et al.'s ""toward a metabolic theory of ecology""EcologyEcology","Ecology","85","7"
"6460","Horne",1967,"Horne-1967-Effects of Physical-.txt","Effects of Physical-Chemical Factors on Distribution and Occurrence of Some Southeastern Wyoming PhyllopodsEcologyEcology","Ecology","48","3"
"6461","Horne",1971,"Horne-1971-Some Effects of Temp.txt","Some Effects of Temperature and Oxygen Concentration on Phyllopod EcologyEcologyEcology","Ecology","52","2"
"6463","Douglass",1976,"Douglass-1976-Spatial Interactions.txt","Spatial Interactions and Microhabitat Selections of 2 Locally Sympatric Voles, Microtus-Montanus and Microtus-PennsylvanicusEcologyEcology","Ecology","57","2"
"6464","Verduin",1956,"Verduin-1956-Energy Fixation and.txt","Energy Fixation and Utilization by Natural Communities in Western Lake ErieEcologyEcology","Ecology","37","1"
"6465","Carrer",2004,"Carrer-2004-Age-dependent tree-r.txt","Age-dependent tree-ring growth responses to climate in Larix decidua and Pinus cembraEcologyEcology","Ecology","85","3"
"6466","Jones",1955,"Jones-1955-A Spruce-Fir Stand i.txt","A Spruce-Fir Stand in the Northern Peninsula of MichiganEcologyEcology","Ecology","36","2"
"6467","Scott",1941,"Scott-1941-Feeding by turkey vu.txt","Feeding by turkey vultures at dens of the Northern PlainsEcologyEcology","Ecology","22","2"
"6468","Horrill",1973,"Horrill-1973-Structure and Cation.txt","Structure and Cation Content of a Podzolic Soil of Long Island, New-York 7-Years after Destruction of Vegetation by Chronic Gamma-IrradiationEcologyEcology","Ecology","54","2"
"6469","Kratz",1996,"Kratz-1996-Effects of stoneflie.txt","Effects of stoneflies on local prey populations: Mechanisms of impact across prey densityEcologyEcology","Ecology","77","5"
"6470","Carriker",1951,"Carriker-1951-Observations on the.txt","Observations on the Penetration of Tightly Closing Bivalves by Busycon and Other PredatorsEcologyEcology","Ecology","32","1"
"6471","Horsfall",1984,"Horsfall-1984-Food-Supply and Egg.txt","Food-Supply and Egg Mass Variation in the European CootEcologyEcology","Ecology","65","1"
"6472","Boyd",1996,"Boyd-1996-Temporal scales of f.txt","Temporal scales of foraging in a marine predatorEcologyEcology","Ecology","77","2"
"6473","Hansson",2000,"Hansson-2000-Patterns of nest pre.txt","Patterns of nest predation contribute to polygyny in the Great Reed WarblerEcologyEcology","Ecology","81","2"
"6475","Fisher",1962,"Fisher-1962-Effect of Multiparas.txt","Effect of Multiparasitism on Populations of 2 Parasites and Their HostEcologyEcology","Ecology","43","2"
"6476","Alatalo",1987,"Alatalo-1987-Body Size, Interspec.txt","Body Size, Interspecific Interactions, and Use of Foraging Sites in Tits (Paridae)EcologyEcology","Ecology","68","6"
"6477","Fisher",1983,"Fisher-1983-Secondary Production.txt","Secondary Production and Organic-Matter Processing by Collector Macroinvertebrates in a Desert StreamEcologyEcology","Ecology","64","5"
"6478","Hansson",2004,"Hansson-2004-Plasticity in pigmen.txt","Plasticity in pigmentation induced by conflicting threats from predation and UV radiationEcologyEcology","Ecology","85","4"
"6479","Owen",1988,"Owen-1988-On Productivity as a.txt","On Productivity as a Predictor of Rodent and Carnivore DiversityEcologyEcology","Ecology","69","4"
"6480","Moss",1996,"Moss-1996-Experimental prevent.txt","Experimental prevention of a population cycle in red grouseEcologyEcology","Ecology","77","5"
"6482","Moss",2000,"Moss-2000-Spatial asynchrony a.txt","Spatial asynchrony and demographic traveling waves during Red Grouse population cyclesEcologyEcology","Ecology","81","4"
"6483","Carslake",2009,"Carslake-2009-Patterns and rules f.txt","Patterns and rules for sensitivity and elasticity in population projection matricesEcologyEcology","Ecology","90","11"
"6484","Mossman",1958,"Mossman-1958-Selective Predation.txt","Selective Predation of Glaucous-Winged Gulls Upon Adult Red SalmonEcologyEcology","Ecology","39","3"
"6486","Potvin",1991,"Potvin-1991-CorrectionEcologyEco.txt","CorrectionEcologyEcology","Ecology","72","1"
"6487","Loesch",1960,"Loesch-1960-Sporadic Mass Shorew.txt","Sporadic Mass Shoreward Migrations of Demersal Fish and Crustaceans in Mobile Bay, AlabamaEcologyEcology","Ecology","41","2"
"6488","Marvier",1998,"art100402.txt","Parasite impacts on host communities: Plant parasitism in a California coastal prairieEcologyEcology","Ecology","79","8"
"6489","Bayly",1972,"Bayly-1972-Seasonal Ionic Fluct.txt","Seasonal Ionic Fluctuations in a Typha-Glauca CommunityEcologyEcology","Ecology","53","4"
"6490","Gladfelter",1980,"Gladfelter-1980-Similarity and Diver.txt","Similarity and Diversity among Coral-Reef Fish Communities - a Comparison between Tropical Western Atlantic (Virgin-Islands) and Tropical Central Pacific (Marshall-Islands) Patch ReefsEcologyEcology","Ecology","61","5"
"6491","Vermeij",2008,"Vermeij-2008-The Trans-Atlantic H.txt","The Trans-Atlantic History of Diversity and Body Size in Ecological GuildsEcologyEcology","Ecology","89","11"
"6492","Alcantara",2000,"Alcantara-2000-Factors shaping the.txt","Factors shaping the seedfall pattern of a bird-dispersed plantEcologyEcology","Ecology","81","7"
"6494","Owensmith",1994,"Owensmith-1994-Foraging Responses o.txt","Foraging Responses of Kudus to Seasonal-Changes in Food Resources - Elasticity in ConstraintsEcologyEcology","Ecology","75","4"
"6495","Fisk",2002,"Fisk-2002-Using anthropogenic.txt","Using anthropogenic contaminants and stable isotopes to assess the feeding ecology of greenland sharksEcologyEcology","Ecology","83","8"
"6496","Hosseini",2006,"Hosseini-2006-Spatial spread of an.txt","Spatial spread of an emerging infectious disease: Conjunctivitis in house finchesEcologyEcology","Ecology","87","12"
"6497","Bradford",1993,"Bradford-1993-Bet Hedging and the.txt","Bet Hedging and the Diapause Strategies of the Cricket Allonemobius-FasciatusEcologyEcology","Ecology","74","4"
"6498","Lohrer",2008,"Lohrer-2008-Biogenic disturbance.txt","Biogenic disturbance determines invasion success in a subtidal soft-sediment systemEcologyEcology","Ecology","89","5"
"6499","Pacala",1985,"Pacala-1985-Population Experimen.txt","Population Experiments with the Anolis Lizards of St-Maarten and St-EustatiusEcologyEcology","Ecology","66","1"
"6500","Seabloom",2003,"Seabloom-2003-Multiple stable equi.txt","Multiple stable equilibria in grasslands mediated by herbivore population dynamics and foraging behaviorEcologyEcology","Ecology","84","11"
"6501","Drake",1993,"Drake-1993-Population Developme.txt","Population Development of Rain-Forest Trees on a Chronosequence of Hawaiian Lava FlowsEcologyEcology","Ecology","74","4"
"6502","Seabloom",2010,"Seabloom-2010-Viral diversity and.txt","Viral diversity and prevalence gradients in North American Pacific Coast grasslandsEcologyEcology","Ecology","91","3"
"6503","Kristan",2003,"Kristan-2003-Spatial pattern of r.txt","Spatial pattern of risk of common raven predation on desert tortoisesEcologyEcology","Ecology","84","9"
"6504","Bradley",2003,"Bradley-2003-Spatial heterogeneit.txt","Spatial heterogeneity, not visitation bias, dominates variation in herbivoryEcologyEcology","Ecology","84","8"
"6505","Drake",2002,"Drake-2002-Reconstructing salmo.txt","Reconstructing salmon abundance in rivers: An initial dendrochronological evaluationEcologyEcology","Ecology","83","11"
"6506","Loison",2004,"Loison-2004-Sex differences in t.txt","Sex differences in the interplay of cohort and mother quality on body mass of red deer calvesEcologyEcology","Ecology","85","7"
"6507","Aleksiuk",1970,"Aleksiuk-1970-Seasonal Food Regime.txt","Seasonal Food Regime of Arctic BeaversEcologyEcology","Ecology","51","2"
"6508","Sealander",1962,"Sealander-1962-Seasonal-Changes in.txt","Seasonal-Changes in Blood Values of Deer Mice and Other Small MammalsEcologyEcology","Ecology","43","1"
"6509","Packard",1987,"Packard-1987-Influence of Moistur.txt","Influence of Moisture, Temperature, and Substrate on Snapping Turtle Eggs and EmbryosEcologyEcology","Ecology","68","4"
"6510","Flaccus",1964,"Flaccus-1964-Old-Growth Northern.txt","Old-Growth Northern Hardwood Forests in Northeastern MinnesotaEcologyEcology","Ecology","45","3"
"6511","Packer",1960,"Packer-1960-Bioclimatic Influenc.txt","Bioclimatic Influences on the Breeding Migration of Taricha-RivularisEcologyEcology","Ecology","41","3"
"6512","Seamans",1938,"Seamans-1938-Agropyron smithii Ry.txt","Agropyron smithii Rydb. and Cephus cinctus Nort.EcologyEcology","Ecology","19","2"
"6513","Vestal",1945,"Vestal-1945-Size Requirements fo.txt","Size Requirements for Reference Areas in Mixed ForestEcologyEcology","Ecology","26","2"
"6514","Flanders",1942,"Flanders-1942-The sex-ratio in the.txt","The sex-ratio in the Hymenoptera: A function of the environmentEcologyEcology","Ecology","23","1"
"6515","Flanders",1947,"Flanders-1947-Elements of Host Dis.txt","Elements of Host Discovery Exemplified by Parasitic HymenopteraEcologyEcology","Ecology","28","3"
"6516","Flanders",1948,"Flanders-1948-A Host-Parasite Comm.txt","A Host-Parasite Community to Demonstrate BalanceEcologyEcology","Ecology","29","1"
"6517","Flanders",1954,"Flanders-1954-Simplified Method fo.txt","Simplified Method for the Study of Interacting Host-Parasite PopulationsEcologyEcology","Ecology","35","2"
"6518","Mueggler",1969,"Mueggler-1969-98some Vegetation an.txt","98some Vegetation and Soil Characteristics of Mountain Grasslands in Central IdahoEcologyEcology","Ecology","50","4"
"6519","Flanders",1958,"Flanders-1958-The Ephestia-Idechth.txt","The Ephestia-Idechthis Ecosystem for Illustrating Population-DynamicsEcologyEcology","Ecology","39","3"
"6520","Sears",1936,"Sears-1936-The Great American S.txt","The Great American Shelter-BeltEcologyEcology","Ecology","17","4"
"6521","Lomolino",2000,"Lomolino-2000-Assembly and disasse.txt","Assembly and disassembly of mammal communities in a fragmented temperate rain forestEcologyEcology","Ecology","81","6"
"6523","Sears",1948,"Sears-1948-Forest Sequence and.txt","Forest Sequence and Climatic Change in North-Eastern North-America since Early Wisconsin TimeEcologyEcology","Ecology","29","3"
"6524","Flatt",2000,"Flatt-2000-The effects of mutua.txt","The effects of mutualistic ants on aphid life history traitsEcologyEcology","Ecology","81","12"
"6526","Vickery",1974,"Vickery-1974-Growth in Artificial.txt","Growth in Artificial Climates - Indication of Mimulus Ability to Invade New HabitatsEcologyEcology","Ecology","55","4"
"6527","Long",2003,"Long-2003-Extending the resour.txt","Extending the resource concentration hypothesis to plant communities: Effects of litter and herbivoresEcologyEcology","Ecology","84","3"
"6528","Seastedt",2001,"Seastedt-2001-Effects of mobile tr.txt","Effects of mobile tree islands on alpine tundra soilsEcologyEcology","Ecology","82","1"
"6529","Casper",1981,"Casper-1981-Fixed Rates of Rando.txt","Fixed Rates of Random Ovule Abortion in Cryptantha-Flava (Boraginaceae) and Its Possible Relation to Seed DispersalEcologyEcology","Ecology","62","3"
"6530","McLeod",2007,"art101444.txt","Hagfish in the New Zealand fjords are supported by chemoautotrophy of forest carbonEcologyEcology","Ecology","88","4"
"6531","Bragg",1969,"Bragg-1969-Pollen Size Variatio.txt","Pollen Size Variation in Selected Grass TaxaEcologyEcology","Ecology","50","1"
"6533","Secor",1960,"Secor-1960-Volcanic Ash Content.txt","Volcanic Ash Content of the Soil of a Festuca-Viridula Bald on a Mountain in Northern IdahoEcologyEcology","Ecology","41","2"
"6534","Longanecker",1952,"Longanecker-1952-Sylvatic Plague Stud.txt","Sylvatic Plague Studies .9. Studies of the Microclimate of the California Ground Squirrel Burrow and Its Relation to Seasonal Changes in the Flea PopulationEcologyEcology","Ecology","33","4"
"6535","Seddon",1965,"Seddon-1965-Occurrence of Isoete.txt","Occurrence of Isoetes-Echinospora in Eutrophic Lakes in WalesEcologyEcology","Ecology","46","5"
"6536","Bertness",1998,"art100303.txt","Making mountains out of barnacles: The dynamics of acorn barnacle hummockingEcologyEcology","Ecology","79","4"
"6537","Longino",2002,"Longino-2002-The ant fauna of a t.txt","The ant fauna of a tropical rain forest: Estimating species richness three different waysEcologyEcology","Ecology","83","3"
"6538","Vila",1998,"Vila-1998-Fruit choice and see.txt","Fruit choice and seed dispersal of invasive vs. noninvasive Carpobrotus (Aizoaceae) in coastal CaliforniaEcologyEcology","Ecology","79","3"
"6539","Hovel",2001,"Hovel-2001-Habitat fragmentatio.txt","Habitat fragmentation in a seagrass landscape: Patch size and complexity control blue crab survivalEcologyEcology","Ecology","82","7"
"6540","Longmuir",2007,"Longmuir-2007-Independent gradient.txt","Independent gradients of producer, consumer, and microbial diversity in Lake PlanktonEcologyEcology","Ecology","88","7"
"6541","Allan",1973,"Allan-1973-Competition and Rela.txt","Competition and Relative Abundances of 2 CladoceransEcologyEcology","Ecology","54","3"
"6542","Vile",2006,"Vile-2006-A structural equatio.txt","A structural equation model to integrate changes in functional strategies during old-field successionEcologyEcology","Ecology","87","2"
"6543","Paine",1969,"Paine-1969-Pisaster-Tegula Inte.txt","Pisaster-Tegula Interaction - Prey Patches, Predator Food Preference, and Intertidal Community StructureEcologyEcology","Ecology","50","6"
"6544","Allan",1975,"Allan-1975-Distributional Ecolo.txt","Distributional Ecology and Diversity of Benthic Insects in Cement Creek, ColoradoEcologyEcology","Ecology","56","5"
"6546","Lonsdale",1999,"Lonsdale-1999-Global patterns of p.txt","Global patterns of plant invasions and the concept of invasibilityEcologyEcology","Ecology","80","5"
"6547","Paine",1988,"Paine-1988-Food Webs - Road Map.txt","Food Webs - Road Maps of Interactions or Grist for Theoretical DevelopmentEcologyEcology","Ecology","69","6"
"6548","Looman",1960,"Looman-1960-Adaptation of Sorens.txt","Adaptation of Sorensens-K (1948) for Estimating Unit Affinities in Prairie VegetationEcologyEcology","Ecology","41","3"
"6549","Looman",1963,"Looman-1963-Preliminary Classifi.txt","Preliminary Classification of Grasslands in SaskatchewanEcologyEcology","Ecology","44","1"
"6550","Howard",1984,"Howard-1984-Habitat Segregation.txt","Habitat Segregation in Ground Crickets - Experimental Studies of Adult Survival, Reproductive Success, and Oviposition PreferenceEcologyEcology","Ecology","65","1"
"6551","Loomis",1965,"Loomis-1965-Absorption of Radian.txt","Absorption of Radiant Energy by LeavesEcologyEcology","Ecology","46","1-2"
"6552","Villalba",1998,"Villalba-1998-Influences of large-.txt","Influences of large-scale climatic variability on episodic tree mortality in northern PatagoniaEcologyEcology","Ecology","79","8"
"6553","Howard",1988,"Howard-1988-Leafcutting Ant Diet.txt","Leafcutting Ant Diet Selection - Relative Influence of Leaf Chemistry and Physical FeaturesEcologyEcology","Ecology","69","1"
"6554","Loosanoff",1942,"Loosanoff-1942-Shell movements of t.txt","Shell movements of the edible mussel, Mytilus edulis (L.) in relation to temperatureEcologyEcology","Ecology","23","2"
